OSE Building ID,Data Year,Building Name,Building Type,Address,City,State,Zip Code,Latitude,Longitude,Neighborhood,Council District Code,Year Built,Numberof Floors,Property GFA Total,PropertyGFABuilding(s),Property GFA Parking,Primary Property Type,ENERGYSTAR Score,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),Largest Property Use Type,Largest Property Use Type GFA,Second Largest Property Use Type,Second Largest Property Use Type GFA,Third Largest Property Use Type,Third Largest Property Use Type GFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),EPA Building Sub Type Name,Compliance Issue,Compliance Status,Electricity(kBtu),NaturalGas(kBtu),GHG Emissions Intensity,Total Ghg Emissions
23,2018,RENAISSANCE MADISON HOTEL,NonResidential,515 MADISON ST,SEATTLE,WA,98104,47.60681,-122.33078,DOWNTOWN,7,1983,28,416281,331281,85000,Hotel,37,95,94.599998474,33087274,32968230,203.199996948,203.199996948,Hotel,348329,Parking,85000,,,6055088,0,123083,Hotel,No Issue,Compliant,20659960,12308269,2.1,708.8
24,2018,RAINIER CLUB (HISTORICAL LANDMARK),NonResidential,810 4TH AVE,SEATTLE,WA,98104,47.60515,-122.33159,DOWNTOWN,7,1907,5,57452,57452,0,Mixed Use Property,,147.5,144.399993896,8475214,8297564,279.600006104,276.100006104,Social/Meeting Hall,16442,Restaurant,15505,Office,9741,1148053,1925571,24548,Mixed Use Property,No Issue,Compliant,3917157,2454837,4.2,243.2
25,2018,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,NonResidential,700 3RD AVE,SEATTLE,WA,98104,47.60376,-122.33194,DOWNTOWN,7,1916,10,104352,104352,0,Hotel,57,82.800003052,82.800003052,8644233,8644233,189,189,Hotel,104352,,,,,1729638,2080088,6626,Hotel,No Issue,Compliant,5901525,662619,1.5,161.5
26,2018,KING COUNTY COURTHOUSE,NonResidential,516 3RD AVE,SEATTLE,WA,98104,47.60265,-122.33051,DOWNTOWN,7,1916,10,540360,540360,0,Courthouse,58,94.099998474,92.300003052,50547020,49571632,175.5,173.600006104,Courthouse,501287,Barracks,35863,,,6900411,0,260274,Courthouse,No Issue,Compliant,23544202,26027431,2.7,1445.2
27,2018,KING COUNTY CORRECTIONAL FACILITY,NonResidential,500 5TH AVE,SEATTLE,WA,98104,47.60378,-122.32842,DOWNTOWN,1,1985,19,385274,385274,0,Prison/Incarceration,,142.600006104,141.199996948,48396060,47901700,237.899993896,237.800003052,Prison/Incarceration,339315,Parking,45959,,,5089567,0,305361,Prison/Incarceration,No Issue,Compliant,17365603,30536094,4.3,1668.1
28,2018,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,5101 S GRAHAM ST,SEATTLE,WA,98118,47.54576,-122.26853,SOUTHEAST,2,1961,2,56228,56228,0,K-12 School,91,27,25.799999237,1593467,1519057,54.200000763,52.400001526,K-12 School,58916,,,,,250309,0,6650,K-12 School,No Issue,Compliant,854056,665001,0.7,37.6
29,2018,WATERTOWN HOTEL,NonResidential,4242 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65959,-122.31755,NORTHEAST,1,2001,6,98356,67770,30586,Hotel,95,52.299999237,52,3542863,3521933,112.199996948,111.900001526,Hotel,67770,Parking,30586,,,650600,0,13021,Hotel,No Issue,Compliant,2219847,1302086,1.1,75.1
30,2018,CORNISH (Main Campus Center),NonResidential,1000 LENORA ST,SEATTLE,WA,98121,47.61816,-122.33629,DOWNTOWN,7,1928,7,126593,126593,0,College/University,,97.300003052,94,12157912,11747831,168.199996948,164.800003052,College/University,125000,,,,,1383186,0,70284,College/University,No Issue,Compliant,4719431,7028399,3,385.9
32,2018,HOMEWOOD SUITES -SEATTLE - Hilton,NonResidential,1011 PIKE ST,SEATTLE,WA,98101,47.61301,-122.32929,EAST,1,1991,8,158676,128375,30301,Hotel,49,97,96.099998474,11370701,11265730,187.600006104,186,Hotel,117176,Parking,42000,Swimming Pool,0,1669762,0,55685,Hotel,No Issue,Compliant,5697228,5568502,2.4,311
33,2018,SPRINGHILL SUITES SEATTLE DOWNTOWN,NonResidential,1800 YALE AVE,SEATTLE,WA,98101,47.61784,-122.32966,DOWNTOWN,7,2001,10,171866,133585,38281,Hotel,60,87,86.900001526,11209339,11199122,170.5,171.199996948,Hotel,128909,Parking,38301,,,1726193,0,53093,Hotel,No Issue,Compliant,5889771,5309350,2.2,297.7
34,2018,MEANY MIDDLE SCHOOL (SPS-DISTRICT),SPS-District K-12,300 20TH AVE E,SEATTLE,WA,98112,47.62266,-122.30547,SHARED: CENTRAL &amp; EAST,3,1955,1,126351,126351,0,K-12 School,96,26.799999237,24.899999619,3385705,3147250,35.799999237,33.299999237,K-12 School,126351,,,,,151593,0,26300,K-12 School,No Issue,Compliant,517237,2630014,1.1,141.1
35,2018,HOTEL FIVE,NonResidential,2200 5TH AVE,SEATTLE,WA,98121,47.61558,-122.34186,DOWNTOWN,1,1978,5,68410,52210,16200,Hotel,67,78.599998474,78.099998474,4102638,4079408,161.5,160.300003052,Hotel,52210,Parking,15400,,,684289,0,17446,Hotel,No Issue,Compliant,2334795,1744613,1.9,98.9
36,2018,JANE ADDAMS MIDDLE (SPS-DISTRICT),SPS-District K-12,11031 34TH AVE NE,SEATTLE,WA,98125,47.70994,-122.29301,NORTH,1,1949,2,160645,160645,0,K-12 School,71,39.799999237,37.400001526,6603814,6206542,61.900001526,59,K-12 School,166021,,,,,548087,0,43365,K-12 School,No Issue,Compliant,1870074,4336468,1.5,235.3
37,2018,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,201 GARFIELD ST,SEATTLE,WA,98109,47.6329,-122.35172,MAGNOLIA / QUEEN ANNE,7,1989,2,51582,51582,0,K-12 School,73,27,26.100000381,1491331,1439059,75.699996948,73,K-12 School,55166,,,,,421764,0,0,K-12 School,No Issue,Compliant,1439059,0,0.1,3.8
38,2018,HOUSE OF GOOD SHEPHERD,NonResidential,4649 SUNNYSIDE AVE N,SEATTLE,WA,98103,47.6641,-122.33118,LAKE UNION,1,1906,3,87262,87262,0,Office,,57,54.200000763,4469855,4247380,86.300003052,83,Office,43615,K-12 School,23177,Other - Entertainment/Public Assembly,5919,343098,0,30767,Office,No Issue,Compliant,1170649,3076732,1.9,166.5
40,2018,SILVER CLOUD INN UNIVERSITY,NonResidential,5036 25TH AVE NE,SEATTLE,WA,98105,47.66583,-122.29965,NORTHEAST,4,1994,4,81871,81871,0,Hotel,27,78.199996948,78.300003052,6399247,6406894,148.399993896,148.699996948,Hotel,81871,,,,,912037,0,32950,Hotel,No Issue,Compliant,3111871,3295023,2.2,183.3
41,2018,2746 NE 45TH ST - PUBLIC STORAGE,NonResidential,2746 NE 45TH ST,SEATTLE,WA,98105,47.66172,-122.29598,NORTHEAST,1,1955,2,26225,26225,0,Self-Storage Facility,,10.699999809,10.5,279595,276530,26.5,26.399999619,Self-Storage Facility,26225,,,,,67418,0,465,Self-Storage Facility,No Issue,Compliant,230030,46500,0.1,3.1
43,2018,BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,Campus,1135 S WEBSTER ST,SEATTLE,WA,98108,47.53493,-122.31788,GREATER DUWAMISH,1,1992,3,2026324,2026324,0,Mixed Use Property,,293,286.100006104,581511936,567845632,453.5,446.299987793,Office,686180,Laboratory,639946,Non-Refrigerated Warehouse,480625,48479000,0,4024353,Mixed Use Property,No Issue,Compliant,165410348,402435300,10.8,21814.9
50,2018,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,4017 26TH AVE W,SEATTLE,WA,98199,47.65671,-122.39047,MAGNOLIA / QUEEN ANNE,7,1990,2,54986,54986,0,K-12 School,73,32.200000763,30.700000763,1771207,1688685,73,70.099998474,K-12 School,54986,,,,,348618,0,4992,K-12 School,No Issue,Compliant,1189486,499199,0.5,29.7
51,2018,ECKSTEIN MIDDLE (SPS-DISTRICT),SPS-District K-12,3003 NE 75TH ST,SEATTLE,WA,98115,47.68252,-122.29498,NORTHEAST,4,1950,2,175565,175565,0,K-12 School,93,34.700000763,32.299999237,6230373,5797068,50.700000763,47.900001526,K-12 School,179513,,,,,420665,0,43618,K-12 School,No Issue,Compliant,1435310,4361758,1.3,235.5
52,2018,SALMON BAY CENTER 5305 & 5309,NonResidential,5305 SHILSHOLE AVE NW,SEATTLE,WA,98107,47.66587,-122.38476,BALLARD,1,1961,2,94900,94900,0,Office,10,132.300003052,129.199996948,6563108,6408345,290.700012207,288.399993896,Office,28055,Non-Refrigerated Warehouse,21562,,,1269742,0,20760,Office,No Issue,Compliant,4332360,2075985,1.3,121.8
53,2018,EL CENTRO DE LA RAZA,NonResidential,2524 16TH AVE S,SEATTLE,WA,98144,47.58034,-122.31132,GREATER DUWAMISH,2,1900,2,52554,52554,0,Office,77,48.599998474,46.400001526,2860714,2729815,77.599998474,74.900001526,Office,51029,Other - Education,7849,,,258171,0,18489,Office,No Issue,Compliant,880881,1848934,1.9,100.5
54,2018,BLANCHET HIGH SCHOOL,NonResidential,8200 WALLINGFORD AVE N,SEATTLE,WA,98103,47.68891,-122.33553,NORTHWEST,1,1954,3,175015,175015,0,K-12 School,69,57.5,54.599998474,10059544,9547488,90.199996948,86.599998474,K-12 School,175015,,,,,860602,0,66111,K-12 School,No Issue,Compliant,2936376,6611112,2.1,359
55,2018,VINE ST MINI STORAGE,NonResidential,11 VINE ST,SEATTLE,WA,98121,47.61351,-122.35129,DOWNTOWN,7,1911,3,70586,70586,0,Self-Storage Facility,,31.100000381,30.399999619,2193202,2142204,71.300003052,70.599998474,Self-Storage Facility,38439,Vocational School,28197,Office,3859,456319,0,5852,Self-Storage Facility,No Issue,Compliant,1556961,585243,0.5,35.2
56,2018,HILTON SEATTLE,NonResidential,1301 6TH AVE,SEATTLE,WA,98101,47.60946,-122.33337,DOWNTOWN,1,1969,24,332210,126240,205970,Hotel,95,44.5,44.299999237,15512941,15431908,92.800003052,92.5,Hotel,348630,,,,,2689945,0,62538,Hotel,No Issue,Compliant,9178092,6253815,2.8,356.6
57,2018,5TH & PINE,NonResidential,1513 5TH AVE,SEATTLE,WA,98101,47.6113,-122.33659,DOWNTOWN,7,1973,5,168115,168115,0,Office,78,53.5,53.799999237,9066856,9114712,149.699996948,150.5,Office,103362,Retail Store,65676,Data Center,493,2671369,0,0,Office,No Issue,Compliant,9114711,0,0.1,24.3
58,2018,CENTURY SQUARE RETAIL,NonResidential,1525 4TH AVE,SEATTLE,WA,98101,47.61076,-122.33765,DOWNTOWN,7,1920,2,57428,57428,0,Other - Mall,,18.200000763,18.200000763,1043196,1043196,39.400001526,39.400001526,Other - Mall,51747,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681,,,195653,0,3756,Other - Mall,No Issue,Compliant,667569,375626,0.4,21.7
59,2018,GIBRALTAR TOWER,NonResidential,1518 3RD AVE,SEATTLE,WA,98101,47.61048,-122.33794,DOWNTOWN,1,1910,8,59400,59400,0,Office,,47.299999237,47.299999237,2599818,2599818,132.399993896,132.399993896,Office,48366,Retail Store,6619,,,761963,0,0,Office,No Issue,Compliant,2599818,0,0.1,6.9
60,2018,MANN BUILDING/WILD GINGER/TRIPLE DOOR,NonResidential,1401 3RD AVE,SEATTLE,WA,98101,47.60886,-122.33744,DOWNTOWN,7,1926,2,52549,52549,0,Mixed Use Property,,305.100006104,298.299987793,16002685,15648427,471.399993896,465.600006104,Other - Entertainment/Public Assembly,23500,Restaurant,23500,Office,5459,1338469,0,110816,Mixed Use Property,No Issue,Compliant,4566856,11081570,11.4,600.7
62,2018,ROOSEVELT HOTEL (HOTEL THEODORE),NonResidential,1531 7TH AVE,SEATTLE,WA,98101,47.61233,-122.33432,DOWNTOWN,1,1930,20,98634,88591,10043,Hotel,51,84.400001526,83.800003052,7651354,7591841,184.199996948,182.300003052,Hotel,83591,Parking,10043,Restaurant,7057,1379876,2075751,8080,Hotel,No Issue,Compliant,4708137,807954,1.9,165.8
63,2018,SHERATON GRAND SEATTLE - (Parent Building),Campus,1400 6TH AVE,SEATTLE,WA,98101,47.61087,-122.33339,DOWNTOWN,1,1982,34,1083197,926614,156583,Hotel,68,84.800003052,84.099998474,84325664,83592312,172.899993896,172.199996948,Hotel,994212,Parking,117668,Swimming Pool,0,13669650,11518554,254329,Hotel,No Issue,Compliant,46640846,25432928,2.3,2087.6
65,2018,INN AT THE MARKET,NonResidential,86 PINE ST,SEATTLE,WA,98101,47.60997,-122.34138,DOWNTOWN,7,1985,7,71150,71150,0,Hotel,98,88.900001526,88.599998474,5105488,5088944,190.100006104,189.800003052,Hotel,41340,Parking,13730,Retail Store,9604,929902,0,19161,Hotel,No Issue,Compliant,3172825,1916119,1.5,110.2
66,2018,MOORE HOTEL & THEATRE,NonResidential,1926 2ND AVE,SEATTLE,WA,98101,47.61155,-122.34114,DOWNTOWN,7,1908,7,122810,122810,0,Hotel,99,51.900001526,49.400001526,6373928,6070163,73.199996948,70.599998474,Hotel,96360,Other - Entertainment/Public Assembly,26450,,,383784,0,47607,Hotel,No Issue,Compliant,1309471,4760692,2.1,256.3
67,2018,QUALITY INN & SUITES - SEATTLE,NonResidential,618 JOHN ST,SEATTLE,WA,98109,47.61986,-122.34413,LAKE UNION,7,1959,5,113173,70627,42546,Hotel,92,68.300003052,67.900001526,4826396,4792422,135.699996948,134.300003052,Hotel,70627,Parking,42546,,,746117,0,22467,Hotel,No Issue,Compliant,2545752,2246670,1.8,126.1
68,2018,HOLIDAY INN - SEATTLE,NonResidential,211 DEXTER AVE N,SEATTLE,WA,98109,47.62001,-122.34274,LAKE UNION,7,2000,7,150453,115718,34735,Hotel,88,66.400001526,66,7682808,7635998,124.300003052,124.199996948,Hotel,115718,Parking,34735,,,1064094,0,40053,Hotel,No Issue,Compliant,3630689,4005307,1.9,222.4
69,2018,HOLIDAY INN EXPRESS - DOWNTOWN SEATTLE,NonResidential,226 AURORA AVE N,SEATTLE,WA,98109,47.62025,-122.34314,LAKE UNION,1,1997,6,116300,88100,28200,Hotel,85,60.599998474,60.599998474,5358454,5358454,123.400001526,123.400001526,Hotel,88490,,,,,886436,0,23339,Hotel,No Issue,Compliant,3024518,2333936,1.5,132
70,2018,HOMEWOOD SUITES HOTEL - SEATTLE,NonResidential,206 WESTERN AVE W,SEATTLE,WA,98119,47.62023,-122.35951,MAGNOLIA / QUEEN ANNE,1,1998,6,155602,118858,36744,Hotel,95,45.700000763,45.599998474,7105433,7099446,92.599998474,92.400001526,Hotel,155602,,,,,1160748,0,31390,Hotel,No Issue,Compliant,3960472,3138974,1.5,177.3
73,2018,SEATTLE HEBREW ACADEMY,NonResidential,1617 INTERLAKEN DR E,SEATTLE,WA,98112,47.63442,-122.30793,EAST,3,1911,3,56072,56072,0,K-12 School,57,63.599998474,59.900001526,3563641,3358370,84.099998474,79.800003052,K-12 School,56072,,,,,159101,0,28155,K-12 School,No Issue,Compliant,542853,2815516,2.7,151
77,2018,COMFORT SUITES SEATTLE CENTER,NonResidential,601 ROY ST,SEATTLE,WA,98109,47.62519,-122.34456,MAGNOLIA / QUEEN ANNE,7,1999,4,122942,78051,44891,Hotel,95,65.300003052,65.199996948,5099893,5089622,122.5,122.099998474,Hotel,78051,Parking,44891,,,700906,0,26981,Hotel,No Issue,Compliant,2391491,2698131,1.9,149.7
82,2018,WA DEPT OF SOCIAL & HEALTH SERVICES,NonResidential,1700 E CHERRY ST,SEATTLE,WA,98122,47.60823,-122.30956,CENTRAL,3,1962,2,54984,54984,0,Office,62,66.099998474,63.799999237,3633946,3510100,128.5,126.199996948,Office,54984,,,,,544540,0,16521,Office,No Issue,Compliant,1857972,1652128,1.7,92.7
84,2018,PROVIDENCE MT ST VINCENT,NonResidential,4831 35TH AVE SW,SEATTLE,WA,98126,47.55837,-122.37751,SOUTHWEST,1,1922,5,371257,296313,74944,Senior Care Community,57,149.100006104,144.600006104,44165828,42848800,224.899993896,220.199996948,Senior Care Community,296313,Parking,0,,,3393000,0,312719,Senior Care Community,No Issue,Compliant,11576916,31271884,5.7,1691.8
85,2018,FOSS HOME AND VILLAGE,NonResidential,13023 GREENWOOD AVE N,SEATTLE,WA,98133,47.72426,-122.35599,NORTHWEST,5,1970,2,93397,93397,0,Senior Care Community,1,173.300003052,172.399993896,16182456,16100519,284,282.700012207,Senior Care Community,93397,,,,,1590832,0,106726,Senior Care Community,No Issue,Compliant,5427919,10672602,6.2,581.3
86,2018,SCCA - ALLIANCE HOUSE,NonResidential,207 PONTIUS AVE N,SEATTLE,WA,98109,47.61988,-122.33211,LAKE UNION,7,2008,6,84103,63371,20732,Hotel,76,66.099998474,65.699996948,4186683,4162604,158.699996948,158.300003052,Hotel,63371,Parking,20732,,,948464,0,9264,Hotel,No Issue,Compliant,3236160,926443,0.9,57.8
87,2018,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,3701 SW 104TH ST,SEATTLE,WA,98146,47.5097,-122.37759,SOUTHWEST,1,1948,2,53352,53352,0,K-12 School,100,7.800000191,7.800000191,704390,704390,21.700000763,21.700000763,K-12 School,90763,,,,,206445,0,0,K-12 School,Low Outlier - EUI,Account Requires Verification,704390,0,0,1.9
89,2018,POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH),NonResidential,1200 HARVARD AVE,SEATTLE,WA,98122,47.61244,-122.3214,EAST,1,1965,3,329489,179014,150475,Medical Office,63,93.699996948,91,16768501,16293902,185.699996948,182.899993896,Medical Office,179014,Parking,150475,,,2618000,0,73613,Medical Office,No Issue,Compliant,8932616,7361286,2.3,414.8
95,2018,SORRENTO HOTEL,NonResidential,900 MADISON ST,SEATTLE,WA,98104,47.60898,-122.32693,EAST,3,1908,7,76631,76631,0,Hotel,73,92.199996948,91.5,7062656,7008332,152.699996948,152.600006104,Hotel,76631,,,,,726646,0,45290,Hotel,No Issue,Compliant,2479315,4529017,3.2,247.2
96,2018,PUGET SOUND BLOOD CENTER,NonResidential,921 TERRY AVE,SEATTLE,WA,98104,47.60845,-122.32637,EAST,3,1983,6,99780,90439,9341,Mixed Use Property,,191,189.600006104,14446802,14342250,427.299987793,426.899993896,Medical Office,40654,Parking,20868,Office,17020,2760829,4922300,0,Mixed Use Property,No Issue,Compliant,9419949,0,3.2,286.8
98,2018,400 WESTLAKE,NonResidential,400 WESTLAKE AVE N,SEATTLE,WA,98109,47.62237,-122.33805,LAKE UNION,1,1929,2,58320,58320,0,Retail Store,,8.100000381,7.699999809,505431,480558,12.600000381,12.199999809,Retail Store,62280,,,,,42665,0,3350,Retail Store,No Issue,Compliant,145574,334984,0.3,18.2
100,2018,CITY PLACE III (Obidos/Rufus),NonResidential,551 BOREN AVE N,SEATTLE,WA,98109,47.62424,-122.33646,LAKE UNION,1,2010,5,317687,166961,150726,Office,90,54.200000763,53.900001526,15574155,15489316,134.300003052,134.100006104,Office,247882,Parking,150726,Retail Store,26464,3728756,0,27668,Office,No Issue,Compliant,12722515,2766801,1.1,180.9
102,2018,MARRIOTT RESIDENCE INN,NonResidential,800 FAIRVIEW AVE N,SEATTLE,WA,98109,47.62642,-122.33325,LAKE UNION,1,1990,7,282863,238097,44766,Hotel,73,76,74.699996948,18145262,17842512,146.100006104,144.800003052,Hotel,238793,Parking,51537,,,2652970,0,87906,Hotel,No Issue,Compliant,9051934,8790580,2.1,491
103,2018,KEY ARENA - SEATTLE CENTER,Nonresidential COS,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,7,1962,1,389000,389000,0,Other,,47.700000763,48,17550918,17671616,111.300003052,111.599998474,Other,368000,,,,,3722328,3135800,5292,Other,No Issue,Compliant,12700583,529232,0.6,228.7
104,2018,BAGLEY WRIGHT THEATER - SEATTLE CENTER,Nonresidential COS,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1,1962,1,91213,91213,0,Other,,96.099998474,93.199996948,6247680,6060956,210.199996948,205.5,Other,65000,,,,,1122689,2045680,0,Other,No Issue,Compliant,3830615,0,1.3,119
106,2018,ARMORY - SEATTLE CENTER,Nonresidential COS,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1,1938,5,396085,396085,0,Other,,74.400001526,75.900001526,20723526,21143556,122.699996948,124.099998474,Other,278500,,,,,1918146,10041840,0,Other,No Issue,Compliant,6544714,0,1.4,551.3
