OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
26,2022,KING COUNTY COURTHOUSE,NonResidential,0942000860,516 3RD AVE,SEATTLE,WA,98104,47.60265,-122.33051,DOWNTOWN,7,1916,10,1,540360,540360,0,61,93.59999847,95.40000153,51240692,50280388,168.3999939,170.3000031,Courthouse,Courthouse,501287,Barracks,35863,NA,,6309243,,297136,Compliant,No Issue,21527137,29713550,1660.7,3.07
27,2022,KING COUNTY CORRECTIONAL FACILITY,NonResidential,0942001010,500 5TH AVE,SEATTLE,WA,98104,47.60378,-122.32842,DOWNTOWN,3,1985,19,1,385274,385274,0,,140.3999939,143.6000061,48712712,47655076,226.8000031,230.1000061,Prison/Incarceration,Prison/Incarceration,339315,Parking,45959,NA,,4507093,,333345,Compliant,No Issue,15378201,33334509,1829.4,4.75
28,2022,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,1102000138,5101 S GRAHAM ST,SEATTLE,WA,98118,47.54576,-122.26853,SOUTHEAST,2,1961,2,1,56228,56228,0,85,34.5,36.29999924,2020136,1919481,63.5,65.40000153,K-12 School,K-12 School,55715,NA,,NA,,255430,,11486,Compliant,No Issue,871526,1148610,64.3,1.14
29,2022,WATERTOWN HOTEL,NonResidential,1142000755,4242 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65958,-122.31738,NORTHEAST,4,2001,6,1,88592,58006,30586,96,49.90000153,49.90000153,3384201,3384201,109.4000015,109.4000015,Hotel,Hotel,67770,Parking,30586,NA,,646991,,11767,Compliant,No Issue,2207532,1176670,71,1.22
30,2022,CORNISH (Main Campus Center),NonResidential,0660001420,1000 LENORA ST,SEATTLE,WA,98121,47.61816,-122.33629,DOWNTOWN,7,1928,7,1,126593,126593,0,,64.40000153,66.5,8311346,8048944,118.3000031,120.5,College/University,College/University,125000,NA,,NA,,1060973,,46913,Compliant,No Issue,3620040,4691310,263,2.08
32,2022,HOMEWOOD SUITES -SEATTLE - Hilton,NonResidential,0660001832,1011 PIKE ST,SEATTLE,WA,98101,47.61301,-122.32929,EAST,7,1991,8,1,158676,128375,30301,,,,,,,,Hotel,Hotel,152708,Parking,42000,Swimming Pool,0,,,,Not Compliant,Missing EUI or Utility Data,,,,
33,2022,SPRINGHILL SUITES SEATTLE DOWNTOWN,NonResidential,0660002680,1800 YALE AVE,SEATTLE,WA,98101,47.61784,-122.32966,DOWNTOWN,7,2001,10,1,171866,133585,38281,84,66.19999695,66.19999695,8535897,8535897,136.8000031,136.8000031,Hotel,Hotel,128909,Parking,38301,NA,,1452635,,35795,Compliant,No Issue,4956391,3579500,209.1,1.57
34,2022,MEANY MIDDLE SCHOOL (SPS-DISTRICT),SPS-District K-12,0688000090,300 20TH AVE E,SEATTLE,WA,98112,47.62266,-122.30547,SHARED: CENTRAL & EAST,3,1955,1,1,126351,126351,0,40,53.40000153,55.40000153,6611672,6366122,82.90000153,85.09999847,K-12 School,K-12 School,119254,NA,,NA,,536651,,47806,Compliant,No Issue,1831052,4780620,260.9,2.07
35,2022,HOTEL FIVE,NonResidential,0697000170,2200 5TH AVE,SEATTLE,WA,98121,47.61558,-122.34186,DOWNTOWN,7,1978,5,1,68410,52210,16200,82,64.69999695,66.30000305,3463646,3378143,135.3999939,140,Hotel,Hotel,52210,Parking,15400,NA,,615154,,13647,Compliant,No Issue,2098905,1364740,80.5,1.54
36,2022,JANE ADDAMS MIDDLE (SPS-DISTRICT),SPS-District K-12,0752000170,11031 34TH AVE NE,SEATTLE,WA,98125,47.70994,-122.29301,NORTH,5,1949,2,1,160645,160645,0,55,49.40000153,51.09999847,8528203,8240506,72.80000305,74.80000305,K-12 School,K-12 School,166917,NA,,NA,,591650,,65095,Compliant,No Issue,2018709,6509490,353.5,2.2
37,2022,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,0809000005,201 GARFIELD ST,SEATTLE,WA,98109,47.6329,-122.35172,MAGNOLIA / QUEEN ANNE,7,1989,2,1,51582,51582,0,68,28.60000038,29.29999924,1609479,1571400,80.09999847,82,K-12 School,K-12 School,54946,NA,,NA,,471711,,,Compliant,No Issue,1609479,,6.2,0.12
38,2022,GOOD SHEPHERD CENTER,NonResidential,0825049102,4649 SUNNYSIDE AVE N,SEATTLE,WA,98103,47.6641,-122.33118,LAKE UNION,4,1906,3,1,87262,87262,0,,,,,,,,Office,Office,43615,K-12 School,23177,Other - Entertainment/Public Assembly,5919,290450,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",991017,,3.8,0.04
40,2022,SILVER CLOUD INN UNIVERSITY,NonResidential,0925049117,5036 25TH AVE NE,SEATTLE,WA,98105,47.66583,-122.29965,NORTHEAST,4,1994,4,1,81871,81871,0,84,62.70000076,64.30000305,5261327,5134340,125.4000015,129.3999939,Hotel,Hotel,81871,NA,,NA,,849157,,23640,Compliant,No Issue,2897324,2364000,136.7,1.67
43,2022,BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,Campus,0022000005,1135 S WEBSTER ST,SEATTLE,WA,98108,47.53493,-122.31788,GREATER DUWAMISH,2,1992,3,1,2026324,2026324,0,,266.8999939,291.5,579555072,530582368,409.3999939,435.2999878,Mixed Use Property,Office,686180,Laboratory,639946,Non-Refrigerated Warehouse,480625,43033640,,4327243,Compliant,No Issue,146830780,432724300,23545.1,11.62
50,2022,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,0369000400,4017 26TH AVE W,SEATTLE,WA,98199,47.65671,-122.39047,MAGNOLIA / QUEEN ANNE,7,1990,2,1,54986,54986,0,62,37,38.70000076,2038251,1947402,81.5,84.90000153,K-12 School,K-12 School,52669,NA,,NA,,390161,,7070,Compliant,No Issue,1331231,707020,42.7,0.78
51,2022,ECKSTEIN MIDDLE (SPS-DISTRICT),SPS-District K-12,0425049022,3003 NE 75TH ST,SEATTLE,WA,98115,47.68252,-122.29498,NORTHEAST,4,1950,2,1,175565,175565,0,74,51.79999924,55.5,9962670,9306474,68.30000305,72.09999847,K-12 School,K-12 School,179513,NA,,NA,,416762,,85407,Compliant,No Issue,1421994,8540680,459.1,2.61
52,2022,SALMON BAY CENTER 5305 & 5309,NonResidential,0467000429,5305 SHILSHOLE AVE NW,SEATTLE,WA,98107,47.66587,-122.38476,BALLARD,6,1961,2,1,94900,94900,0,,,,,,,,Office,Office,28055,Non-Refrigerated Warehouse,21562,NA,,1088601,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",3714307,,14.2,0.15
53,2022,EL CENTRO DE LA RAZA,NonResidential,0570000340,2524 16TH AVE S,SEATTLE,WA,98144,47.58034,-122.31132,GREATER DUWAMISH,2,1900,2,1,52554,52554,0,82,42.20000076,44.70000076,2629252,2485004,67.30000305,70.09999847,Office,Office,51029,Other - Education,7849,NA,,228505,,18496,Compliant,No Issue,779659,1849590,101.2,1.93
54,2022,BLANCHET HIGH SCHOOL,NonResidential,0625049002,8200 WALLINGFORD AVE N,SEATTLE,WA,98103,47.68891,-122.33553,NORTHWEST,6,1954,3,1,175015,175015,0,68,50.40000153,53.20000076,10114125,9580769,80.40000153,83.30000305,K-12 School,K-12 School,190000,Parking,0,NA,,872950,,71356,Compliant,No Issue,2978504,7135620,390.4,2.23
55,2022,VINE ST MINI STORAGE,NonResidential,0653000225,11 VINE ST,SEATTLE,WA,98121,47.61351,-122.35129,DOWNTOWN,7,1911,3,1,70586,70586,0,,,,,,,,NA,NA,,NA,,NA,,,,,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,,,,
56,2022,HILTON SEATTLE,NonResidential,7802920020,1301 6TH AVE,SEATTLE,WA,98101,47.60946,-122.33337,DOWNTOWN,7,1969,24,1,332210,126240,205970,87,53.29999924,53.29999924,12504120,12504120,119.6999969,119.6999969,Hotel,Hotel,234630,NA,,NA,,2504364,,39592,Compliant,No Issue,8544890,3959230,243,1.93
57,2022,5TH & PINE,NonResidential,1975700200,1513 5TH AVE,SEATTLE,WA,98101,47.6113,-122.33659,DOWNTOWN,7,1973,5,1,88717,88717,0,79,30.29999924,30.29999924,5139502,5139502,84.90000153,84.90000153,Office,Office,103855,Retail Store,65676,NA,,1506302,,,Compliant,No Issue,5139502,,19.7,0.22
58,2022,CENTURY SQUARE RETAIL,NonResidential,1975700365,1525 4TH AVE,SEATTLE,WA,98101,47.61076,-122.33765,DOWNTOWN,7,1920,2,1,57428,57428,0,,20.70000076,21.39999962,1229891,1186063,57.79999924,60,Other - Mall,Other - Mall,57428,"Personal Services (Health/Beauty, Dry Cleaning, etc)",0,NA,,360460,,0,Compliant,No Issue,1229891,0,4.7,0.08
59,2022,GIBRALTAR TOWER,NonResidential,1975700380,1518 3RD AVE,SEATTLE,WA,98101,47.61048,-122.33794,DOWNTOWN,7,1910,8,1,59400,59400,0,,33,33.5,1841722,1815905,92.5,93.80000305,Office,Office,48366,Retail Store,6619,NA,,539778,,,Compliant,No Issue,1841722,,7.1,0.12
60,2022,MANN BUILDING/WILD GINGER/TRIPLE DOOR,NonResidential,1975700525,1401 3RD AVE,SEATTLE,WA,98101,47.60886,-122.33744,DOWNTOWN,7,1926,2,1,64597,64597,0,,157.3999939,161.8999939,10458805,10167355,242,246.6999969,Mixed Use Property,Restaurant,21292,Performing Arts,15904,Office,14011,830115,,76264,Compliant,No Issue,2832352,7626450,415.9,6.44
61,2022,PALIHOTEL,NonResidential,1975700600,107 PINE ST,SEATTLE,WA,98101,47.60973,-122.34038,DOWNTOWN,7,1900,4,1,50510,50510,0,,,,,,,,Hotel,Hotel,46409,NA,,NA,,,,,Not Compliant,Missing EUI or Utility Data,,,,
62,2022,HOTEL THEODORE (ROOSEVELT),NonResidential,1976700010,1531 7TH AVE,SEATTLE,WA,98101,47.61233,-122.33432,DOWNTOWN,7,1930,20,1,98634,88591,10043,56,90.90000153,93.30000305,8453279,8242943,171.8000031,178.3000031,Hotel,Hotel,83591,Parking,10043,Restaurant,7057,1158156,2396936,21047,Compliant,No Issue,3951628,2104720,321.1,3.62
63,2022,SHERATON GRAND SEATTLE - (Parent Building),Campus,1976700095,1400 6TH AVE,SEATTLE,WA,98101,47.61087,-122.33339,DOWNTOWN,7,1982,34,2,1083197,926614,156583,78,74.30000305,74.59999847,74165064,73828736,151.8999939,152.1999969,Hotel,Hotel,994212,Parking,117668,Swimming Pool,0,12021610,10978591,221687,Compliant,No Issue,41017733,22168741,2224,2.4
65,2022,INN AT THE MARKET,NonResidential,1977200050,86 PINE ST,SEATTLE,WA,98101,47.60997,-122.34138,DOWNTOWN,7,1985,7,1,71150,57420,13730,77,78.5,78.40000153,4501186,4509146,160.6000061,160.1999969,Hotel,Hotel,57420,Parking,13730,NA,,748952,,19458,Compliant,No Issue,2555424,1945760,113.1,1.97
66,2022,MOORE HOTEL & THEATRE,NonResidential,1977201035,1926 2ND AVE,SEATTLE,WA,98101,47.61155,-122.34114,DOWNTOWN,7,1908,7,1,122810,122810,0,100,43.20000076,46.09999847,5662422,5299774,58.5,61.59999847,Hotel,Hotel,96360,Other - Entertainment/Public Assembly,26450,Restaurant,5486,271948,,47345,Compliant,No Issue,927887,4734540,255,2.08
68,2022,HOLIDAY INN - SEATTLE,NonResidential,1991200935,211 DEXTER AVE N,SEATTLE,WA,98109,47.62001,-122.34274,LAKE UNION,7,2000,7,1,150453,115718,34735,93,56.5,56.5,6539374,6539374,113.5999985,113.5999985,Hotel,Hotel,115718,Parking,34735,NA,,1051705,,29510,Compliant,No Issue,3588417,2950960,170.5,1.47
69,2022,FAIRFIELD INN,NonResidential,1991200940,226 AURORA AVE N,SEATTLE,WA,98109,47.62025,-122.34314,LAKE UNION,7,1997,6,1,116300,88100,28200,96,46.79999924,46.79999924,4137276,4137276,95.09999847,95.09999847,Hotel,Hotel,88490,NA,,NA,,682477,,18087,Compliant,No Issue,2328612,1808660,105,1.19
70,2022,HOMEWOOD SUITES HOTEL - SEATTLE,NonResidential,1992200235,206 WESTERN AVE W,SEATTLE,WA,98119,47.62023,-122.35951,MAGNOLIA / QUEEN ANNE,7,1998,6,1,155602,118858,36744,64,54.59999847,56.59999847,6730022,6487416,115,120.6999969,Hotel,Hotel,118858,Parking,36744,NA,,1220121,,25670,Compliant,No Issue,4163053,2566970,152.3,1.28
73,2022,SEATTLE HEBREW ACADEMY,NonResidential,2125049015,1617 INTERLAKEN DR E,SEATTLE,WA,98112,47.63442,-122.30793,EAST,3,1911,3,1,56072,56072,0,,,,,,,,K-12 School,K-12 School,67064,NA,,NA,,176640,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",602696,,2.3,0.04
77,2022,FOUR POINTS SHERATON SEATTLE CENTER,NonResidential,2249000170,601 ROY ST,SEATTLE,WA,98109,47.62519,-122.34456,MAGNOLIA / QUEEN ANNE,7,1999,4,1,122942,78051,44891,100,45.79999924,45.79999924,3571892,3571892,91.40000153,91.40000153,Hotel,Hotel,78051,Parking,44891,NA,,566579,,16387,Compliant,No Issue,1933169,1638720,94.4,1.21
82,2022,WA DEPT OF SOCIAL & HEALTH SERVICES (DSHS),NonResidential,2254501944,1700 E CHERRY ST,SEATTLE,WA,98122,47.60823,-122.30956,CENTRAL,3,1962,2,1,54984,54984,0,69,59.90000153,62.5,3703678,3550290,111.4000015,116.4000015,Office,Office,59221,NA,,NA,,502734,,19884,Compliant,No Issue,1715328,1988350,112.2,2.04
84,2022,PROVIDENCE MT ST VINCENT,NonResidential,2324039001,4831 35TH AVE SW,SEATTLE,WA,98126,47.55837,-122.37751,SOUTHWEST,1,1922,5,1,371257,296313,74944,47,145.3000031,149.3999939,44282896,43065356,214.3999939,218.6999969,NA,Senior Living Community,296313,Parking,0,NA,,3065510,,338234,Compliant,No Issue,10459520,33823369,1836.5,6.2
85,2022,FOSS HOME AND VILLAGE,NonResidential,2426039059,13023 GREENWOOD AVE N,SEATTLE,WA,98133,47.72426,-122.35599,NORTHWEST,5,1970,2,1,93397,93397,0,,,,,,,,NA,Senior Living Community,93397,NA,,NA,,1447910,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",4940269,,18.9,0.2
86,2022,SCCA - ALLIANCE HOUSE,NonResidential,2467400430,207 PONTIUS AVE N,SEATTLE,WA,98109,47.61988,-122.33211,LAKE UNION,7,2008,6,1,84103,63371,20732,83,57.5,59.5,3771744,3642331,143.3999939,148.8999939,Hotel,Hotel,63371,Parking,20732,NA,,917441,,6414,Compliant,No Issue,3130308,641440,46.1,0.73
87,2022,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,2518400005,3701 SW 104TH ST,SEATTLE,WA,98146,47.5097,-122.37759,SOUTHWEST,1,2016,3,1,78972,78972,0,89,34.5,36.40000153,3277882,3108348,51.09999847,53.5,K-12 School,K-12 School,89973,NA,,NA,,370155,,20149,Compliant,No Issue,1262969,2014910,111.9,1.42
89,2022,POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH),NonResidential,1978201270,1200 HARVARD AVE,SEATTLE,WA,98122,47.61244,-122.3214,EAST,3,1965,3,2,329489,179014,150475,,,,,,,,Parking,Parking,150475,Medical Office,115149,NA,,2312084,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",7888831,,30.3,0.17
95,2022,SORRENTO HOTEL,NonResidential,1979200270,900 MADISON ST,SEATTLE,WA,98104,47.60898,-122.32693,EAST,3,1908,7,1,76631,76631,0,,,,,,,,Hotel,Hotel,76631,NA,,NA,,613667,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",2093831,,8,0.1
96,2022,PUGET SOUND BLOOD CENTER,NonResidential,1979200290,921 TERRY AVE,SEATTLE,WA,98104,47.60845,-122.32637,EAST,3,1983,6,1,121099,96783,24316,27,142.1999969,144.1999969,13955605,13759878,311.2999878,314.6000061,Medical Office,Medical Office,96783,Parking,24316,NA,,2507456,5400167,,Compliant,No Issue,8555440,,470.2,4.86
100,2022,CITY PLACE III (Obidos/Rufus),NonResidential,1983200325,551 BOREN AVE N,SEATTLE,WA,98109,47.62424,-122.33646,LAKE UNION,7,2010,5,2,438093,287367,150726,86,50.09999847,50.29999924,14453047,14404417,136.8999939,137.1000061,Office,Office,251818,Parking,150726,Veterinary Office,10964,4056531,,6122,Compliant,No Issue,13840884,612160,85.6,0.3
102,2022,MARRIOTT RESIDENCE INN,NonResidential,1984200065,800 FAIRVIEW AVE N,SEATTLE,WA,98109,47.62642,-122.33325,LAKE UNION,3,1990,7,1,282863,238097,44766,81,71.40000153,72.19999695,17231016,17056798,134.6000061,135.3999939,Hotel,Hotel,238793,Parking,51537,NA,,2384467,,90952,Compliant,No Issue,8135801,9095210,514.2,2.16
103,2022,CLIMATE PLEDGE ARENA,NonResidential,1985200003,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,7,1962,1,1,389000,389000,0,,120.1999969,120.1999969,112021592,112021592,336.5,336.5,Indoor Arena,Indoor Arena,932000,NA,,NA,,32831650,,,Compliant,No Issue,112021590,,429.6,1.1
104,2022,BAGLEY WRIGHT THEATER - SEATTLE CENTER,Nonresidential COS,1985200003,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,7,1962,1,1,65127,65127,0,,92.09999847,94.59999847,6151192,5983608,196.6000061,199.6999969,Other,Other,65000,NA,,NA,,1024315,2654930,,Compliant,No Issue,3494963,,228.5,3.51
106,2022,ARMORY - SEATTLE CENTER,Nonresidential COS,1985200305,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,7,1938,5,1,396085,396085,0,,26.60000038,26.70000076,7437714,7395114,66.69999695,66.90000153,Other,Other,278500,NA,,NA,,1775353,1380210,0,Compliant,No Issue,6057504,0,135,0.34
107,2022,CITY PLACE IV (Ruby/Dawson),NonResidential,1986200410,301 BOREN AVE N,SEATTLE,WA,98109,47.62112,-122.33629,LAKE UNION,7,2010,12,1,571329,571329,0,91,56.40000153,56.40000153,32219716,32219716,157.8999939,157.8999939,Office,Office,544487,Parking,190000,College/University,21819,9443058,,0,Compliant,No Issue,32219714,0,123.6,0.22
110,2022,EXHIBITION HALL - SEATTLE CENTER,Nonresidential COS,1988200440,301 MERCER ST,SEATTLE,WA,98109,47.62395,-122.35143,MAGNOLIA / QUEEN ANNE,7,1962,2,1,52000,52000,0,,50.20000076,50.20000076,2759802,2759802,92.90000153,92.90000153,Social/Meeting Hall,Social/Meeting Hall,54981,NA,,NA,,329523,1615860,,Compliant,No Issue,1124332,,135.2,2.6
112,2022,MCCAW HALL - SEATTLE CENTER,Nonresidential COS,1988200700,225 MERCER ST,SEATTLE,WA,98109,47.62395,-122.35143,MAGNOLIA / QUEEN ANNE,7,1928,2,1,262048,262048,0,,63.70000076,63.70000076,18857886,18857886,140.3999939,140.3999939,Performing Arts,Performing Arts,296000,NA,,NA,,3486929,6324280,5117,Compliant,No Issue,11897402,511680,585.1,2.23
